seed,d_z,rung,K,E_inf,E_train,ce_bits,wall_train,wall_infer,diag_grad,diag_halvings,analytic_floor,min_atom_dist
0,4,i_linear,5,15,49504450,0.5432311292966497,0.02935004234313965,0.005048513412475586,1.3575671669608039e-17,0,0.5420138691149485,0.08769761314539681
0,4,ii_twolayer,385,839,151135500000,0.27722096556430076,12.574914932250977,0.06085515022277832,0.25376870346177594,2,0.5420138691149485,0.08769761314539681
0,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6819045543670654,1.0,0,0.5420138691149485,0.08769761314539681
1,4,i_linear,5,15,49504450,0.5426769991681106,0.02136087417602539,0.0028183460235595703,5.449340144046238e-18,0,0.5408126166615481,0.09497457946267628
1,4,ii_twolayer,385,839,151135500000,0.3437120531944061,12.336948871612549,0.06389880180358887,0.3284389285602946,2,0.5408126166615481,0.09497457946267628
1,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6878647804260254,1.0,0,0.5408126166615481,0.09497457946267628
2,4,i_linear,5,15,49504450,0.7053114858279291,0.018792152404785156,0.0037474632263183594,8.583917914258785e-18,0,0.7026439650809816,0.07561137356915112
2,4,ii_twolayer,385,839,151135500000,0.17553298949610444,12.652459383010864,0.062107086181640625,0.16511569507248572,0,0.7026439650809816,0.07561137356915112
2,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6804418563842773,1.0,0,0.7026439650809816,0.07561137356915112
3,4,i_linear,5,15,49504450,0.65208351595745,0.01922130584716797,0.0038912296295166016,3.712488911379761e-17,0,0.6502324615509474,0.041617787370959905
3,4,ii_twolayer,385,839,151135500000,0.4503316641224644,12.509076833724976,0.06268906593322754,0.43337870756776375,0,0.6502324615509474,0.041617787370959905
3,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.67807936668396,1.0,0,0.6502324615509474,0.041617787370959905
4,4,i_linear,5,15,49504450,0.5872727512822941,0.019822120666503906,0.003679990768432617,6.389182756028988e-18,0,0.5865550117400973,0.11614690193267749
4,4,ii_twolayer,385,839,151135500000,0.4519285987743597,12.615566492080688,0.06284499168395996,0.42417904036374604,2,0.5865550117400973,0.11614690193267749
4,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6829533576965332,1.0,0,0.5865550117400973,0.11614690193267749
5,4,i_linear,5,15,49504450,0.61493340958074,0.02003645896911621,0.0031058788299560547,2.06453295934701e-17,0,0.6119065673789748,0.1011091090042937
5,4,ii_twolayer,385,839,151135500000,0.3830846600598048,12.71571159362793,0.06284403800964355,0.37630191310857075,1,0.6119065673789748,0.1011091090042937
5,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6743040084838867,1.0,0,0.6119065673789748,0.1011091090042937
6,4,i_linear,5,15,49504450,0.6712306519301797,0.019232749938964844,0.0030379295349121094,1.462377237143928e-17,0,0.6726057816368184,0.06288178797753094
6,4,ii_twolayer,385,839,151135500000,0.5629904114021506,12.601750612258911,0.06084489822387695,0.5512568152815651,2,0.6726057816368184,0.06288178797753094
6,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.677314281463623,1.0,0,0.6726057816368184,0.06288178797753094
7,4,i_linear,5,15,49504450,0.6391675167469585,0.01953577995300293,0.003995418548583984,1.1181992956614339e-17,0,0.6366622506294373,0.04980072224037294
7,4,ii_twolayer,385,839,151135500000,0.47447156946224656,12.619967460632324,0.06300067901611328,0.4539964478714438,1,0.6366622506294373,0.04980072224037294
7,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6831252574920654,1.0,0,0.6366622506294373,0.04980072224037294
8,4,i_linear,5,15,49504450,0.6298111259597032,0.019948244094848633,0.0036025047302246094,6.154068247439366e-18,0,0.6293726858560992,0.10931214990988765
8,4,ii_twolayer,385,839,151135500000,0.42669684458105755,12.991733312606812,0.06260395050048828,0.413585921064224,0,0.6293726858560992,0.10931214990988765
8,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6771290302276611,1.0,0,0.6293726858560992,0.10931214990988765
9,4,i_linear,5,15,49504450,0.48037365108137353,0.019932985305786133,0.0038461685180664062,2.174584376763515e-17,0,0.48042101671333737,0.05776555820864928
9,4,ii_twolayer,385,839,151135500000,0.1829335627665966,12.738044738769531,0.06236672401428223,0.1772307688103384,2,0.48042101671333737,0.05776555820864928
9,4,iii_oracle,9100,23661,0,1.44269576227845e-06,0.0,0.6768755912780762,1.0,0,0.48042101671333737,0.05776555820864928
0,6,i_linear,7,19,80510075,0.33982191347831764,0.020617246627807617,0.0033011436462402344,9.548509770169122e-18,0,0.34118778699916946,0.23201246583646853
0,6,ii_twolayer,513,1095,197253900000,0.008715609272878365,14.365242004394531,0.06343460083007812,0.008028311978962668,0,0.34118778699916946,0.23201246583646853
0,6,iii_oracle,12740,34581,0,1.44269576227845e-06,0.0,0.6822407245635986,1.0,0,0.34118778699916946,0.23201246583646853
1,6,i_linear,7,19,80510075,0.3054044792959114,0.0207517147064209,0.0031599998474121094,4.1856033826897745e-18,0,0.30273930244013914,0.27178181678889635
1,6,ii_twolayer,513,1095,197253900000,0.019163087867530827,14.56658673286438,0.06316876411437988,0.01691564282798028,2,0.30273930244013914,0.27178181678889635
1,6,iii_oracle,12740,34581,0,1.44269576227845e-06,0.0,0.6877338886260986,1.0,0,0.30273930244013914,0.27178181678889635
2,6,i_linear,7,19,80510075,0.6009292136999816,0.021150827407836914,0.0035581588745117188,1.7602446448520282e-17,0,0.5994502679823502,0.08195681019521812
2,6,ii_twolayer,513,1095,197253900000,0.037352614161120054,14.491392374038696,0.06277179718017578,0.03586412831200995,2,0.5994502679823502,0.08195681019521812
2,6,iii_oracle,12740,34581,0,1.44269576227845e-06,0.0,0.6759884357452393,1.0,0,0.5994502679823502,0.08195681019521812
3,6,i_linear,7,19,80510075,0.4965435186932992,0.02136850357055664,0.0033881664276123047,5.289284004239678e-18,0,0.499695721816802,0.30918896991421213
3,6,ii_twolayer,513,1095,197253900000,0.033376597762952036,14.511030435562134,0.0628511905670166,0.029897388385675832,1,0.499695721816802,0.30918896991421213
3,6,iii_oracle,12740,34581,0,1.44269576227845e-06,0.0,0.6766431331634521,1.0,0,0.499695721816802,0.30918896991421213
