seed,d_n,arm,dim,K,H_hat_id_bits,H_hat_shift_bits,flops_train,flops_infer,wall_train_s,wall_infer_s,grad_inf_norm,halvings
3,0,X,4,9,0.6698536208824903,0.6693794508982033,123754450,3000000,0.06444616899534594,0.007097756999428384,2.006536679622957e-18,0
3,0,S,4,9,0.6698536208824903,0.6693794508982033,123754450,3000000,0.06327913999848533,0.007132301005185582,2.006536679622957e-18,0
3,8,X,12,25,0.6669530037256224,0.669268651414959,553800575,6200000,0.0766968440002529,0.01149595101014711,5.086398106676346e-18,0
3,8,S,4,9,0.6668920900929977,0.6691564578664693,123754450,3000000,0.0638626470026793,0.0073435980011709034,1.1711631739748367e-17,0
3,8,N,8,17,0.6793291159701725,2.339518203334546,298769125,4600000,0.06957105400215369,0.008383762004086748,1.5446957843805344e-18,0
3,64,X,68,137,0.6663258139510285,0.6652049306217784,12529589125,28600000,0.24330026398820337,0.058068335012649186,3.743388426692378e-18,0
3,64,S,4,9,0.6656195529803776,0.6647043565055288,123754450,3000000,0.06366032600635663,0.007233260999782942,6.3184290351536525e-18,0
3,64,N,64,129,0.6677822529558711,2.38882985624548,11153650450,27000000,0.21382233400072437,0.05504969799949322,3.2796352126583546e-18,0
3,256,X,260,521,0.6695281391524164,0.6799219810873025,172905211525,105400000,1.9675470229994971,0.19568907500070054,1.3045726829647366e-17,0
3,256,S,4,9,0.666011319396094,0.6682648753842245,123754450,3000000,0.06427104800241068,0.007233308991999365,5.853325229049786e-18,0
3,256,N,256,513,0.6701137812050941,2.429243997954681,167676639250,103800000,1.9659204329946078,0.18932045598921832,5.370825801739233e-18,0
4,0,X,4,9,0.6693115592433702,0.6603636187097016,123754450,3000000,0.06461612100247294,0.008369714007130824,5.988051211494201e-18,0
4,0,S,4,9,0.6693115592433702,0.6603636187097016,123754450,3000000,0.06400037500134204,0.007530478003900498,5.988051211494201e-18,0
4,8,X,12,25,0.6648281774544083,0.6664924663681172,553800575,6200000,0.07677600999886636,0.008962197010987438,1.3940360712431643e-17,0
4,8,S,4,9,0.6647596538968605,0.666411441023948,123754450,3000000,0.0643196400051238,0.007179245003499091,1.5165742763145248e-17,0
4,8,N,8,17,0.6785177767841442,2.3452242012627718,298769125,4600000,0.0697934380004881,0.008069873001659289,3.3741194786875238e-18,0
4,64,X,68,137,0.6678721862049468,0.6644252244344937,12529589125,28600000,0.24752869400253985,0.05944296400411986,4.2334136983123035e-18,0
4,64,S,4,9,0.6669501044420918,0.6632973337433891,123754450,3000000,0.06358022800122853,0.00720068599912338,7.317583805778905e-18,0
4,64,N,64,129,0.6696234943451604,2.406778944502704,11153650450,27000000,0.2179170849994989,0.056581368000479415,3.3118329595080398e-18,0
4,256,X,260,521,0.6713565286344989,0.688694636259238,172905211525,105400000,1.9909847270027967,0.17840656999032944,1.3530857143670236e-17,0
4,256,S,4,9,0.667331729998699,0.6707645452121135,123754450,3000000,0.06512045800627675,0.007562926999526098,1.2816822793096792e-17,0
4,256,N,256,513,0.6716317056961291,2.4118891384141117,167676639250,103800000,2.0232031389896292,0.17741259900503792,5.667571818785471e-18,0
5,0,X,4,9,0.6649413725995588,0.6641521986716603,123754450,3000000,0.06492650600557681,0.007151821002480574,5.472375469744615e-18,0
5,0,S,4,9,0.6649413725995588,0.6641521986716603,123754450,3000000,0.06352714000968263,0.0072749259998090565,5.472375469744615e-18,0
5,8,X,12,25,0.6684370809333695,0.6709458454152849,553800575,6200000,0.07623570400755852,0.008829219994368032,1.7806032140881833e-17,0
5,8,S,4,9,0.6680386161611488,0.6696839862789566,123754450,3000000,0.06363339599920437,0.0072011660085991025,1.1563783131421864e-17,0
5,8,N,8,17,0.6809554985939715,2.3338560645629434,298769125,4600000,0.06950786800007336,0.00808878499083221,2.3004484269237675e-18,0
5,64,X,68,137,0.6619464617058032,0.7089767052699874,12529589125,28600000,0.24217398099426646,0.05911417798779439,1.0403341376238572e-17,0
5,64,S,4,9,0.6607286470878161,0.6652471361339873,123754450,3000000,0.0635587880096864,0.007132316997740418,6.576353876315037e-18,0
5,64,N,64,129,0.6634954727882992,2.410319348843569,11153650450,27000000,0.21658067700627726,0.057642460000352,2.5087482215962584e-18,0
5,256,X,260,521,0.6647008340922389,0.756128161443955,172905211525,105400000,1.94086086700554,0.18915254798776004,1.501860222142309e-17,0
5,256,S,4,9,0.6612014101337271,0.6672353475226669,123754450,3000000,0.06568542000604793,0.007628111008671112,1.5411719807538917e-17,0
5,256,N,256,513,0.6648655879026241,2.4430252582899423,167676639250,103800000,1.9362614970013965,0.19260177700198255,4.451863412691126e-18,0
6,0,X,4,9,0.6669447634223622,0.6656834233505661,123754450,3000000,0.06423562200507149,0.008182720994227566,1.1104914612775422e-17,0
6,0,S,4,9,0.6669447634223622,0.6656834233505661,123754450,3000000,0.06317824199504685,0.007367390004219487,1.1104914612775422e-17,0
6,8,X,12,25,0.6650920018559487,0.6628534234848423,553800575,6200000,0.0762574309919728,0.009008260996779427,5.819217518934542e-18,0
6,8,S,4,9,0.6649549487374888,0.6624748263112664,123754450,3000000,0.06346016298630275,0.00719521299470216,6.28796562755455e-18,0
6,8,N,8,17,0.6765375856853698,2.3347275484499517,298769125,4600000,0.06925881099596154,0.008061312008067034,3.4032944232356046e-18,0
6,64,X,68,137,0.6679243430221904,0.6643829339935059,12529589125,28600000,0.24766155300312676,0.06262630299897864,9.390063226899361e-18,0
6,64,S,4,9,0.6667753648028167,0.6628522034989462,123754450,3000000,0.06594534100440796,0.007286254010978155,9.438382252136262e-18,0
